´úÂë,¼Û¸ñ
300212,28.4
300213,7.6
300214,5.22
300215,9.18
300216,11.4
300217,3.01
300218,8.65
300219,12.15
300220,17.68
300221,16.5
300222,21.06
300223,31.17
300224,8.59
300225,15.7
300226,55.8
300227,22.57
300228,10.38
300229,14.04
300230,12.6
300231,10.86
300232,14.01
300233,17.16
300234,8.6
300235,12.23
300236,28.4
300237,15.7
300238,23.38
300239,5.42
300240,10.96
300241,17.93
300242,7.98
300243,11.83
300244,23.93
300245,14.07
300246,19.85
300247,5.5
300248,13.55
300249,7.59
300250,14.95
300251,13.35
300252,14.72
300253,7.74
300254,10.34
300255,6.75
300256,8.75
300257,16.31
300258,14.19
300259,9.05
300260,14.43
300261,8.2
300262,9.23
300263,6.82
300264,7.52
300265,9.05
300266,24.8
300267,7.21
300268,18.57
300269,13.59
300270,13.52
300271,16.74
300272,8.64
300273,8.92
300274,17.38
300275,14.75
300276,13.62
300277,7.98
300278,17.12
300279,12.44
300280,34.68
300281,11.99
300282,19.68
300283,5.47
300284,16.84
300285,17.99
300286,17.37
300287,8.19
300288,26.84
300289,9.28
300290,8.14
300291,13.03
300292,5.67
300293,11.43
300294,32.7
300295,18.66
300296,20.53
300297,9.96
300298,21.55
300299,8.15
300300,16.63
300301,5.85
300302,10.69
300303,3.7
300304,7.36
300305,7.72
300306,14.91
300307,8.31
300308,63.84
300309,22.55
300310,10.93
300311,13.6
300312,10.1
300313,12.03
300314,14.46
300315,6.66
300316,20.31
300317,14.21
300318,5.63
300319,7.02
300320,9.91
300321,22.86
300322,9.84
300323,16.1
300324,16.0
300325,6.27
300326,8.96
300327,27.66
300328,9.92
300329,9.12
300330,10.28
300331,17.5
300332,6.23
300333,9.0
300334,14.81
300335,16.46
300336,12.23
300337,7.99
300338,19.91
300339,10.78
300340,44.0
300341,7.07
300342,15.21
300343,12.86
300344,10.35
300345,6.15
300346,28.89
300347,36.4
300348,17.27
300349,37.96
300350,9.26
300351,14.2
300352,4.31
300353,12.65
300354,12.31
300355,12.4
300356,6.99
300357,50.77
300358,12.23
300359,10.09
300360,10.62
300362,12.9
300363,12.8
300364,11.69
300365,34.54
300366,11.9
300367,15.3
300368,9.04
300369,10.39
300370,3.75
300371,18.97
300373,24.37
300374,16.85
300375,16.1
300376,7.69
300377,13.13
300378,13.23
300379,13.85
300380,22.76
300381,11.84
300382,14.19
300383,13.19
300384,25.85
300385,24.78
300386,16.78
300387,16.79
300388,23.59
300389,12.48
300390,6.84
300391,15.55
300392,14.93
300393,34.81
300394,20.4
300395,15.19
300396,41.3
300397,20.0
300398,19.74
300399,19.9
300400,14.3
300401,47.35
300402,12.46
300403,14.75
300404,17.7
300405,16.28
300406,16.0
300407,12.99
300408,20.51
300409,49.31
300410,37.58
300411,35.39
300412,11.1
300413,32.9
300414,21.72
300415,17.08
300416,25.81
300417,24.11
300418,24.35
300419,9.47
300420,6.97
300421,18.37
300422,15.7
300423,26.98
300424,23.43
300425,9.53
300426,20.37
300427,14.08
300428,19.29
300429,25.02
300430,18.51
300431,25.08
300432,18.18
300433,27.8
300434,24.09
300435,15.75
300436,30.26
300437,14.68
300438,26.19
300439,19.26
300440,9.65
300441,24.05
300442,20.77
300443,15.51
300444,17.0
300445,15.63
300446,22.0
300447,17.73
300448,22.04
300449,19.19
300450,55.19
300451,26.19
300452,25.98
300453,15.25
300455,11.24
300456,40.95
300457,25.25
300458,24.12
300459,11.4
300460,13.18
300461,64.34
300462,23.88
300463,22.33
300464,9.88
300465,9.36
300466,12.74
300467,46.2
300468,38.73
300469,41.63
300470,41.46
300471,10.17
300472,26.75
300473,40.94
300474,53.65
300475,14.37
300476,22.0
300477,22.29
300478,37.25
300479,19.09
300480,17.47
300481,25.5
300482,71.34
300483,34.34
300484,19.8
300485,28.34
300486,20.53
300487,32.07
300488,33.25
300489,19.48
300490,13.34
300491,18.48
300492,45.98
300493,12.91
300494,18.35
300495,16.36
300496,30.55
300497,44.08
300498,26.89
300499,18.89
300500,34.96
300501,35.27
300502,23.9
300503,12.61
300505,31.86
300506,22.1
300507,27.15
300508,71.0
300509,25.07
300510,26.4
300511,22.39
300512,17.53
300513,33.37
300514,27.21
300515,11.84
300516,45.87
300517,18.96
300518,50.46
300519,20.31
300520,23.8
300521,15.53
300522,19.56
300523,47.3
300525,39.18
300526,18.81
300527,24.02
300528,13.81
300529,30.0
300530,37.2
300531,17.53
300532,23.89
300533,52.07
300534,10.35
300535,35.98
300536,15.71
300537,16.13
300538,35.51
300539,10.88
300540,23.26
300541,26.01
300542,35.58
300543,29.55
300545,53.72
300546,21.31
300547,55.25
300548,42.83
300549,21.07
300550,30.99
300551,24.35
300552,25.3
300553,40.65
300554,72.65
300555,11.73
300556,23.96
300557,38.05
300558,62.91
300559,41.71
300560,31.78
300561,45.7
300562,21.61
300563,29.45
300565,20.12
300566,41.24
300567,128.3
300568,27.09
300569,23.4
300570,19.31
300571,55.12
300572,66.77
300573,25.71
300575,42.28
300576,16.71
300577,63.28
300578,38.83
300579,46.01
300580,21.74
300581,34.02
300582,14.7
300583,40.69
300584,45.41
300585,18.25
300586,26.28
300587,23.31
300588,30.15
300589,21.9
300590,25.81
300591,8.93
300592,16.31
300593,20.11
300595,50.3
300596,17.74
300597,16.6
300598,28.67
300599,12.39
300600,43.96
300601,46.7
300602,50.2
300603,32.02
300604,50.3
300605,26.66
300606,29.43
300607,62.65
300608,29.23
300609,35.28
300610,16.68
300611,14.05
300612,49.28
300613,174.24
300615,28.78
300616,171.4
300617,48.74
300618,310.22
300619,40.95
300620,34.7
300621,20.2
300622,24.55
300623,62.18
300625,24.61
300626,28.97
300627,46.2
300628,120.08
300629,50.61
300630,74.85
300631,27.5
300632,20.45
300633,24.54
300635,20.18
